number,chromadb_id,name,product_id,category,manufacturer,material,product_type,thermal_conductivity,fire_classification,density,is_active,extraction_date
1,rockwool_product_47,ROCKWOOL A bazaltkő term,47,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
2,rockwool_product_48,ROCKWOOL Airrock HD FB1,48,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
3,rockwool_product_49,ROCKWOOL Airrock HD,49,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
4,rockwool_product_50,ROCKWOOL Airrock LD,50,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
5,rockwool_product_51,ROCKWOOL Airrock ND FB1,51,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
6,rockwool_product_52,ROCKWOOL Airrock ND,52,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
7,rockwool_product_53,ROCKWOOL Airrock XD,53,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
8,rockwool_product_54,ROCKWOOL Ceilingrock,54,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
9,rockwool_product_55,ROCKWOOL Conlit Ductrock - Conlit Plus,55,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
10,rockwool_product_56,ROCKWOOL Conlit Steel Protect Board ALU,56,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
11,rockwool_product_59,ROCKWOOL Családi házak hőszigetel,59,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
12,rockwool_product_117,ROCKWOOL Gépészeti szigetelések,117,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
13,rockwool_product_57,ROCKWOOL Conlit Steel Protect Board,57,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
14,rockwool_product_78,ROCKWOOL Rockfall,78,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
15,rockwool_product_83,ROCKWOOL ROCKWOOL xC1rlista 2025 TxF6ltse le aktuális á,83,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
16,rockwool_product_62,ROCKWOOL Durock,62,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
17,rockwool_product_67,ROCKWOOL FRONTROCK SUPER,67,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
18,rockwool_product_70,ROCKWOOL Klimafix,70,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
19,rockwool_product_73,ROCKWOOL Monrock Max E,73,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
20,rockwool_product_76,ROCKWOOL ProRox xC1rlista,76,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
21,rockwool_product_79,ROCKWOOL ROCKWOOL 800,79,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
22,rockwool_product_82,ROCKWOOL ROCKWOOL tx171zvédelem,82,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
23,rockwool_product_86,ROCKWOOL Roofrock 60,86,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
24,rockwool_product_90,ROCKWOOL Steprock ND,90,Padlószigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
25,rockwool_product_94,ROCKWOOL Airrock HD FB1 ,94,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
26,rockwool_product_98,ROCKWOOL Airrock HD,98,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
27,rockwool_product_102,ROCKWOOL Airrock XD,102,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
