Product,Source_File,Confidence,Table_Number,Page,Headers,Row_Data
Airrock HD FB1,Airrock HD FB1 termxE9kadatlap.pdf,0.9,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,None; —; A1; —; None
Airrock HD FB1,Airrock HD FB1 termxE9kadatlap.pdf,0.9,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,"Deklarált hővezetési tényező; λ
D; 0,035; W · m–1 · K–1; EN 12667, EN 12939"
Airrock HD FB1,Airrock HD FB1 termxE9kadatlap.pdf,0.9,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,None; m; 1; —; None
Airrock HD,Airrock HD termxE9kadatlap.pdf,0.9,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,None; —; a1; —; None
Airrock HD,Airrock HD termxE9kadatlap.pdf,0.9,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,"deklarált hővezetési tényező; λ
d; 0,035; w · m–1 · k–1; EN 12667, EN 12939"
Airrock HD,Airrock HD termxE9kadatlap.pdf,0.9,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,None; m; 1; —; None
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.95,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,None; —; A1; —; None
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.95,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,"Deklarált hővezetési tényező; λ
D; 0,037; W · m–1 · K–1; EN 12667, EN 12939"
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.95,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,None; m; 1; —; None
Airrock ND FB1,Airrock ND FB1 termxE9kadatlap.pdf,0.9,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,None; —; A1; —; None
Airrock ND FB1,Airrock ND FB1 termxE9kadatlap.pdf,0.9,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,"Deklarált hővezetési tényező; λ
D; 0,035; W · m–1 · K–1; EN 12667, EN 12939"
Airrock ND FB1,Airrock ND FB1 termxE9kadatlap.pdf,0.9,1,2,Tulajdonság; Jel; Érték; Mértékegység; Vonatkozó szabvány,None; m; 1; —; None
